gene,SI_P1,SI_P3,SI_P4,SI_P5,SI_P8,SI_N2,SI_N3,SI_N4,SI_N5,SI_N7,SI_N8
Blzf1,11.42,19.71,19.07,13.3,17.42,10.06,19.43,5.22,5.61,10.02,10.64
Bmi1,9.3,11.35,3.13,12.29,16.31,6.86,8.34,5.6,10.61,4.46,2.29
Bmp2,10.43,7.44,6.4,1.52,8.91,7.68,6.1,3.65,2.41,11.79,15.35
Bmpr2,3.95,2.48,2.36,3.22,2.4,1.72,2.03,2.48,2.43,3.54,1.99
Bms1,7.02,6.71,6.51,9.89,13.33,4.52,1.26,4.55,4.29,12.85,4.92
Bmt2,5.65,5.03,1.28,1.41,4.57,6.13,4.87,6.8,3.98,4.14,2.92
Bnip2,54.88,82.53,62.75,67.94,73.98,57.67,43.88,53.48,57.39,56.98,60.71
Bnip3,25.78,23.7,26.59,19.24,13.74,11.51,14.74,39.59,5.37,7.87,28.2
Bnip3l,67.82,57.79,100.89,49.14,86.63,69.07,97.89,57.48,37.82,78.5,84.1
Bod1l,25.29,26.1,25.6,23.08,22.81,21.15,17.11,26.83,19.81,19.88,29.89
Bola2,14.65,15.65,7.37,12.88,13.79,7.72,7.97,14.67,24.74,9.39,14.75
Bola3,24.19,23.58,36.89,11.23,50.61,12.67,23.32,20.5,39.94,12.46,38.37
Bop1,22.74,22.21,32.97,20.99,30.94,37.27,48.13,34.33,17.03,20.46,16.21
Borcs5,12.22,5.25,12.29,8.5,7.64,2.94,2.7,9.02,1.33,4.39,4.44
Borcs6,8.46,6.81,2.1,4.41,7.54,6.44,5.79,1.54,6.32,3.85,2.92
Borcs7,2.66,4.73,4.66,6.3,6.29,7.16,9.05,4.78,3.73,6.7,1.9
Borcs8,63.29,72.12,107.28,76.25,34.33,84.86,54.1,83.41,53.41,57.31,63.48
Bpnt1,2.91,5.91,6.88,8.47,3.93,1.01,4.52,4.06,8.51,4.64,1.87
Bptf,28.27,31.47,20.85,37.05,28.2,30.09,20.26,40.28,20.29,40.43,24.43
Braf,21.06,30.25,29.54,23.31,29.42,21.9,21.33,14.77,16.05,19.04,22.68
Brap,53.83,33.38,57.28,64.74,44.37,38.86,34.81,26.3,33.01,34.86,28.04
Brat1,12.49,0.85,8.59,2.43,11.2,4.45,3.8,8.54,1.97,8.45,2.69
Brcc3,8.46,21.11,28.08,18.03,12.17,13.95,11.2,6.22,6.9,15.87,20.18
Brd1,19.61,21.8,14.93,9.25,15.4,14.94,9.49,7.77,8.58,17.32,12.15
Brd2,76.14,89.2,98.71,73.19,151.07,42.25,46.5,73.92,33.99,49.49,57.29
Brd3,18.71,12.55,32.16,43.07,50.43,21.01,13.09,24.51,15.91,37.79,18.22
Brd4,47.33,51.28,56.13,37.43,50.69,50.12,47.33,42.1,39.06,47.6,43.72
Brd7,30.17,34.81,19.54,24.8,14.03,28.05,37.83,33.76,34.35,19.97,17.34
Brd8,28.75,42.13,44.47,40.83,43.54,40.88,35.71,36.79,32.57,22.87,32.13
Brd9,55.42,54.69,55.52,75.52,44.11,33.38,49.39,61.81,45.21,35.92,32.94
Brf1,16.95,12.01,7.48,11.92,16.14,19.25,14.59,5.96,14.91,12.66,14.24
Bri3,59.69,47.53,49.79,41.39,27.91,85.22,56.84,59.29,84.36,41.3,81.22
Bri3bp,22.71,33.03,5.25,23.1,22.03,29.02,40.43,19.17,27.97,38.83,35.78
Brix1,10.56,46.34,52.02,25.13,26.33,43.28,32.75,32.41,17.96,18.49,36.16
Brk1,102.13,166.92,123.92,143.07,121.79,147.28,161.02,93.6,194.38,145.87,140.93
Brms1,30.74,66.65,79.34,68.89,40.6,65.6,67.68,55.16,61.15,53.31,61.91
Brox,24.82,35.15,32.96,27.91,39.67,15.97,17.35,21.81,18.56,14.79,13.98
Brpf1,22.84,17.16,27,31.19,25.86,16.87,15.2,21.51,9.5,19.18,10.37
Brpf3,8.62,24.72,6.99,2.94,7.24,8.22,4.03,8.19,3.27,13.85,6.75
Brwd1,36.48,38.07,28.97,32.96,38.53,56.35,67.41,38.89,34.78,37.98,65.78
Bscl2,44.5,52.49,42.38,46.59,44.81,52.53,52.57,41.36,40.44,48.99,79.38
Bsdc1,63.19,77.11,62.71,55.31,54.68,68.59,55.67,57.85,44.06,58.68,46.43
Bsg,169.53,281.47,225.63,310.92,194.07,257.22,250.79,271.08,235.1,219.82,180.11
Bst2,47.93,57.94,39.21,41.3,44.52,66.2,101.86,93.74,76.68,57.82,66.6
Btaf1,11.17,15.46,4.99,12.05,13.08,9.6,13.21,5.91,8.93,8.48,7.43
Btbd1,6.55,19.44,1.22,15.31,6.98,4.8,16.8,16.65,9.6,10.27,35.56
Btbd10,26.86,17.12,37.91,19.08,28,8.16,13.78,19.68,19.87,16.58,15.81
Btbd19,42.47,104.5,51.7,51.06,40.76,29.78,29.58,33.67,33.43,24.65,43.11
Btbd7,6.25,9.95,7.87,7.6,7.57,12.06,6.62,11.84,6.61,4.56,6.48
Btbd9,82.14,70.98,73.58,44.19,36.54,53.11,46.26,47.77,38.57,59.8,45.9
Btd,6.57,4.63,4.32,6.63,16.87,1.42,3.64,12.61,2.01,2.7,1.51
Btf3,450.7,553.55,499.95,567.65,481.35,679.92,745.99,663.89,652.37,634.25,581.76
Btf3l4,30.09,51.86,36.44,33.72,42.55,60.79,52.22,26.67,34.75,43.36,43.45
Btg1,268.01,216.68,198.43,224.02,210.02,248.74,249.14,230.11,300.2,285.78,308.04
Btg2,1907.47,731.52,1277.45,1350.16,1956.99,788.1,614.77,1099.18,829.34,1612.96,1677.95
Btg3,35.64,19.12,30.27,18.48,32.42,32.17,34.4,23.85,35.73,42.02,20.41
Btk,57.37,39.83,68.02,35.22,56,40.12,42.9,53,39.51,62.5,70.74
Btrc,10.09,12.4,8.33,8.09,18.9,10.12,6.68,13.26,8.04,14.34,10.95
Bub3,45.91,80.03,67.84,60.59,46.82,51.07,63.07,54.84,50.58,51.04,45.56
Bud13,4.18,11.35,16.23,7.37,5.01,10.03,8.53,10.61,5.32,10.48,6.93
Bud23,37.72,25.58,29.76,20.32,23.31,27.73,44.5,35.73,34.33,22.87,50.38
Bud31,149.25,238.4,234.56,244.04,180.75,243.38,250.88,255.91,214.89,239.22,179.42
Bysl,3.87,3.38,2.04,6.31,4.14,5.54,3.52,4.71,1.09,4.28,4.22
Bzw1,70.98,156.81,88.97,145.11,95.6,137.39,156.95,123.54,122.46,122.68,122.9
C130050O18Rik,164.92,367.15,218.1,299.64,295.26,286.99,331.57,148.17,233.22,208.89,196.66
C1d,13.08,28.21,24.1,17.66,28.99,18.1,15.01,13.55,16.46,9.61,10.26
C1galt1,1.83,4.08,2.94,3.07,1.43,3.16,2.65,2.45,1.36,4.17,3.97
C1galt1c1,55,57.67,59.66,60.18,51.07,48.26,47.1,35.19,48.22,66.82,53.22
C1qa,27.19,14.41,10.23,20.43,29.91,4.5,3.79,13.22,14.9,15.36,10.85
C1qb,22.12,24.81,30.91,31.59,37,13.89,17.1,13.16,8.3,19.25,11.47
C1qbp,12.49,25.04,15.9,18.43,17.98,27.18,33.41,45.08,36.24,27.76,35.46
C2cd2l,8.6,17.8,5.02,7,9.32,6.85,1.66,1.94,2.15,6.13,13.06
C2cd3,17.88,18.03,16.49,15.8,16.93,8.65,16.49,31.7,11.65,7.7,20.4
C2cd5,26.18,16.14,16.91,15.1,17.73,12.56,4.13,10.24,16.58,14.41,20.19
C330007P06Rik,41.65,20.28,37.17,19.09,28.53,30.33,19.97,43.85,20,29.57,19.32
C330018D20Rik,3.43,1.97,5.99,3.75,9.84,1.6,4.31,2.96,0.78,8.6,2.18
C3ar1,5.15,2.36,7.4,1.48,3.25,11.53,11.9,16.15,10.62,10.28,13.51
C5ar1,10.38,0.54,2.52,1.36,3.52,55.96,36.25,43.78,36.85,10.79,37.55
C5ar2,0,0.94,0.18,0.32,0.19,3.23,3.13,2.66,1.85,1.23,2.77
C87436,0.64,9.92,17.59,6.6,12.4,11.44,8.71,11.06,19.71,3.54,10.53
Cab39,63.51,53.21,69.05,55.8,37.66,40.8,37.12,42.91,45.87,40.86,46.86
Cab39l,10.15,4.5,6.67,9.19,11.56,7.52,4.84,9.3,5.27,10.83,9.16
Cabin1,11.57,19.27,9.58,7.85,25.7,19.33,7.71,9.16,6.44,12.56,19.56
Cables1,9.11,27.05,17.85,14.46,9.9,6.48,6.59,9.73,0.77,9.43,4.5
Cables2,3.53,9.16,6.75,8.79,10.51,11.89,8.26,6.45,3.97,7.18,2.94
Cacfd1,19.04,54.48,45.42,20.26,23.5,45.03,20.89,43.22,26.19,29.88,36.37
Cactin,7.58,10.03,3.63,10.62,4.16,3.18,4.22,16.18,2.39,11.9,6.74
Cacul1,20.05,15.99,14.77,19.96,10.07,10.71,15.06,11.06,10.77,6.16,14.04
Cacybp,185.06,57.53,194.44,50.64,51.49,78.42,33.03,185.02,41.22,45.61,57.06
Cad,1.01,3.36,4.46,6.58,1.42,6.15,2.82,2.69,2.97,9.09,6.3
Calcoco1,11.66,14.56,10.19,10.97,25.06,6.97,4.37,2.83,6.92,8.96,5.5
Calhm2,3.37,8.12,7.35,4.34,14.71,2.67,1.05,4.87,1.53,9.89,3.77
Calm1,286.48,249.67,257.11,245.82,218.86,273.15,201.84,171.31,213.72,216.24,217.26
Calm2,1910.42,2696.62,2384.05,2466.13,1955.46,2203.02,2185.03,1771.34,2347.97,1962.53,1836.21
Calm3,39.94,26.37,14.01,35.49,19.33,23.63,42.09,36.05,36.64,56.78,30.48
Calr,203.23,239.81,241.65,199.71,202.89,233.62,259.29,202.06,154.22,126.43,175.18
Calu,24.75,47.88,27.16,27.8,32.03,23.02,19.29,31.41,25.67,18.43,16.17
Camk1,215.95,127,135.88,174.95,131.38,269.59,260.58,192.73,210.85,257.86,270.22
Camk1d,33.16,32.48,48.64,30.44,47.59,29.51,24.31,30.06,28.4,62.24,32.33
Camk2b,1.35,3.75,1.77,1.76,1.76,3.72,1.08,0.59,0,4.11,0.61
Camk2d,48.24,56.17,81.11,57.22,65.66,121.1,61.72,64.6,64.61,76.26,61.73
Camk2g,19.86,36.99,19.98,17.17,46.26,36.77,13.02,37.33,18.12,36.57,32.37
Camkk1,96.09,116.93,147.1,97.16,123.25,77.77,67.51,86.04,74.87,104.32,92.97
Camkk2,6.1,4.59,3.7,3.58,7.55,5.21,5.04,2.28,5.31,12.45,8.39
Camkmt,7.05,1.27,10.71,9.68,4.81,3.86,6.88,9.56,5.13,21.22,3.96
Caml,17.4,8.02,13.17,19.95,8.9,5.04,7.29,1.79,3.41,7.54,11.2
Camsap1,4.33,1.94,3.99,1.15,1.15,0.3,12.67,10.35,1.28,1.49,0.89
Camta1,21.39,17.73,2.48,11.12,3.61,14.29,22.33,9.6,21.22,18.71,15.8
Camta2,45.71,46.3,46.46,41.43,79.37,69.69,41.34,36.37,35.49,48.54,45.57
Cand1,1.87,12.87,3.16,5.04,4.93,7.79,5.48,13.16,5.32,4.56,3.87
Cant1,17.5,15.97,27.66,17.3,28.63,12.61,11.69,12.78,12.02,9.05,14.92
Canx,69.86,121.05,79.47,100.37,91.11,109.81,125.29,124.79,101.11,95.9,98.47
Cap1,76.62,80.25,58.09,39.65,79.66,83.56,46,46.43,42.07,78.5,47.97
Capg,10.79,13.13,12.02,11.07,14.28,31.25,50.89,39.71,41.13,49.69,66.71
Capn1,8.3,2.15,26.91,3.46,4.52,1.4,4.25,6.04,1.65,3.64,7.97
Capn15,10.84,4.15,8.42,9.04,14.98,4.09,4.67,5.86,5.42,2.85,6.98
Capn2,15.27,10.4,10.21,7.42,8.97,10.35,16.75,11.2,10.9,11.81,22.72
Capn7,9.23,7.03,17.96,21.8,16.43,18.03,11.32,17.13,27.01,12.19,11.49
Capns1,27.97,26.89,23.82,30.88,35.55,26.87,29.65,44.56,37.44,43.23,42.25
Caprin1,17.29,49.38,26.61,33.92,46.29,35.74,28.98,36.21,23.61,34.21,34.86
Capza1,183.57,233.42,207.93,210.92,236.19,212.04,249.63,199.5,190.81,144.91,174.18
Capza2,214.37,389,307.76,341.97,332.82,286.29,413.91,279.07,246.78,214,273.99
Capzb,535.28,745.61,600.88,717.62,651.26,701.15,803.94,732.58,705.25,778.65,893.55
Car9,4.17,0.69,6.02,9.71,3.44,3.12,6.56,5.21,3.82,4.12,2.06
Card11,64.48,53.4,57.02,46.53,35.47,53.12,35.21,43.96,32.85,30.47,28.04
Card19,164.29,158.53,108.84,118.16,147.29,289.45,256.13,265.36,237.9,205.66,233.53
Card9,5.94,11.23,11.05,10.43,13.05,6.98,10.73,4.93,8.85,10.72,2.57
Carf,2.66,2.97,5.67,2.89,3.33,2.32,1.59,0.68,1.66,2.64,2.71
Carhsp1,18.89,14.55,24.4,17.54,20.11,24.79,17.28,27.71,9.67,20.77,11.94
Carm1,14.53,4.1,4.22,2.09,11.57,3.36,7.63,8.75,17.47,10.16,4.41
Carnmt1,6.98,6.01,3.45,7.98,2.48,4.45,3.09,2.91,3.77,2.86,3.91
Carns1,8.03,3.42,5.92,9.41,6.24,5.75,5.47,5.19,2.15,9.56,5.88
Cars,28.35,39.37,21.49,13.86,17.74,8.5,21.09,34.77,12.96,8.45,10.15
Cars2,19.67,6.73,24.93,18.15,23.18,11.98,5.04,3.6,9.95,30.28,11.65
Casc3,16.98,13.73,9.24,13.77,13.59,12.3,11.21,12.43,19.07,12.43,16.01
Casd1,16.88,8.39,18.57,17,8.25,16.48,13.33,10.22,13.65,16.03,16.58
Cask,22.96,33.6,11.36,7.66,11.57,8.87,16.86,5.7,4.4,7.18,1.96
Casp1,53.05,28.81,30.22,39.14,24.91,27.39,38.69,44.7,31.16,37.18,43.62
Casp2,5.86,8.12,5.09,1.85,3.12,2.29,3.56,4.05,7.29,7.81,4.11
Casp3,128.12,123.41,131.96,90.67,147.04,88.88,74.74,90.48,93.08,89.09,105.83
Casp4,20.52,11.82,33.89,7.15,7.56,76.64,60.38,114.95,47.81,48.87,99.09
Casp6,8.56,11.59,15.59,17.39,9.96,8.37,6.01,6.93,6.39,9.7,4.03
Casp7,53.83,28.26,49.06,81.98,67.84,51.74,41.66,32.62,55.06,51.57,41.71
Casp8,32.14,56.34,60.77,46.45,35.97,21.4,17.3,34.29,22.79,28.85,30.16
Casp8ap2,69.77,51.73,13.46,8,5.88,20.02,12.25,7.62,2.44,30.21,5.02
Casp9,6.35,5.25,8.21,5.65,8.18,5.62,5.69,3.63,2.41,6.1,1.42
Cass4,270.13,435.08,351.5,407.59,418.67,157.5,221.33,181.12,163.43,176.4,199.71
Cast,51.02,66.06,45.78,59.91,59.16,54.41,37.15,57.1,47.79,87.98,49.34
Castor1,36.73,28.79,50.87,35.45,29.98,21.4,10.19,24.57,9.67,20.97,17.48
Castor2,0.87,1.67,0.54,1.33,1.01,0.61,0.72,0.25,0.94,0.86,0.43
Casz1,3.33,7.6,10.17,2.69,9.76,8.23,5.65,4.88,2.29,5.51,8.68
Cat,89.95,68.2,83.98,80.13,104.98,55.44,43.34,96.94,39.92,53.26,70.84
Cbarp,5.7,14.85,6.8,10.03,6.44,7.76,0.43,2.95,3.45,3.71,2.13
Cbfa2t2,14.66,2.93,7.24,6.37,14.51,6.46,2.74,3.72,6.44,6.28,8.67
Cbfa2t3,9.53,3.7,5.06,3.52,11.58,7.29,3.97,9.57,4.16,18.48,11.4
Cbfb,26.97,18.39,18.61,24.37,18.55,15.59,17.61,18.32,17.15,11.76,16.99
Cbl,28.58,24.16,43.26,32.19,45.98,17.66,19.87,39.08,18.59,18.8,21.37
Cblb,6.33,6.52,3.27,4.24,6.01,3.41,4.01,8.18,5.83,8.9,12.03
Cbll1,6.15,11.92,6.99,8.32,5.53,8.01,13.02,3.89,3.68,9.29,2.54
Cbr1,19.46,10.74,17.95,4.7,3.75,12.73,10.81,26.63,7.87,4.64,12.37
Cbx1,6.46,21.78,11.27,5.88,11.83,8.03,11.89,4.15,10.38,15.12,15.41
Cbx3,81.84,43.27,64.43,54.63,55.33,61.23,52.43,65.11,99.72,78.48,87.63
Cbx4,22.97,4.72,14.96,6.48,14.46,11.74,6.05,11.05,6.01,9.9,15.39
Cbx5,7.16,1.39,1.26,2.95,2.72,1.61,0.66,0.9,0,1.46,0.48
Cbx6,3.23,0.63,1.59,3.22,2.59,3.14,0.62,0.22,1.95,3.18,1.47
Cbx7,6.9,3.8,3.37,7.22,8.91,4.27,3.49,8.35,2.7,6.75,3.53
Cbx8,11.38,4.68,19.07,7.48,14.54,3.91,0.86,3.44,11.19,3.68,13.13
Cc2d1a,4.95,3.54,6.3,11.08,2.24,2.69,1.72,6.17,6.34,2.77,3.31
Cc2d1b,16.85,14.87,12.44,24.12,27.88,11.88,14.43,8.69,27.92,11.42,20.17
Ccar1,61.73,25.15,61.96,28.76,47.66,35.67,21.14,29.39,21.23,24.3,21.05
Ccar2,3.22,2.2,3.04,3.2,5.78,6.05,3.58,3.9,1.08,3.72,5.91
Ccdc107,14.96,11.31,11.18,4.68,16.36,12.59,19.22,15.11,8.64,30.14,23.39
Ccdc115,30.61,27.95,32.44,31.62,35.46,21.81,30.14,22.09,27.21,21.21,21.88
Ccdc117,27.52,7.69,16.05,6.91,10.21,13.62,11.08,20.9,5.91,11.24,8.46
Ccdc12,533.12,523.4,505.89,562.16,407.36,458.3,495.44,562.39,722.73,554.24,517
Ccdc124,15.59,24.1,26.25,25.52,21.65,28.94,45.87,19.47,55.14,24.21,30.12
Ccdc125,38.35,19.3,45.81,33.34,52.67,11.59,14.2,24.58,14.04,51.82,37.64
Ccdc127,16.39,8.4,39.98,12.64,18.78,5.61,8.59,28.56,18.37,11,10.98
Ccdc130,61.31,78.74,64.24,33.77,56.83,24.14,19.65,38.33,14.52,34.23,23.29
Ccdc134,43.57,23.64,38.64,35.34,43.67,32.18,12.22,29.09,27.45,25.96,27.56
Ccdc137,4.6,5.96,4.49,6.67,8.77,7.05,1.6,14.73,3.49,4.2,7.63
Ccdc15,1.98,3.75,2.1,2.31,4.16,0,0,1.25,0.6,0.92,0.5
Ccdc174,45.34,75.13,55.95,80.67,29.67,37.02,25.09,63.73,33.05,31.58,29.71
Ccdc186,14.72,8.84,12.51,9.94,7.34,13.13,3.42,8.57,8.19,10.92,6.74
Ccdc191,7.04,6.53,3.94,3.44,5.81,3.48,0.37,12.93,6.7,8.67,1.66
Ccdc22,10.43,6.66,11.86,7.83,9.79,6.33,4.14,10.03,8.24,9.71,10.4
Ccdc25,14.35,21.29,14.97,18.62,24.29,10.94,13.64,13.01,21.24,7.69,11.59
Ccdc28b,8.42,9.41,11.16,19.68,14.87,5.67,12.17,29.2,11.24,16.31,30.43
Ccdc32,11.36,27.64,23.97,15.26,7.13,7.29,7.22,9.61,10.43,1.74,6.17
Ccdc43,14.05,12.87,10.37,13.76,11.97,5.09,17.31,11.53,18.54,7.24,3.69
Ccdc47,14.49,10.01,13.04,20.91,21.31,10.43,10.43,21.11,13.35,8.69,16.88
Ccdc50,5.2,8.89,3.53,9.67,7.73,5.02,6.19,5.68,1.38,4.02,2.08
Ccdc59,31.07,39.25,30.59,32.6,17.34,22.16,24.42,38.76,16.17,18.79,16.17
Ccdc6,6.31,2.83,2.95,8.35,10.28,4.16,3.09,8.65,11.59,8.88,10.36
Ccdc61,8.94,17.38,0.95,4.61,11.22,3.41,3.61,10.01,7.76,2.68,10.41
Ccdc69,10.96,11.28,14.8,5.34,17.03,1.73,2.56,9.65,7.07,13.12,6.88
Ccdc71,32.96,21.79,12.95,12.28,30.8,19.45,18.65,18.44,21.07,11.97,20.44
Ccdc77,1.25,3.83,13.14,5.23,3.71,2.41,13.24,3.81,0.19,4.49,0.94
Ccdc82,43.78,70.96,44.09,64.16,65.3,34.84,55.71,34.57,41.96,49.57,43.38
Ccdc84,30.41,31.35,16.77,33.92,28.47,21.45,19.13,17.56,21.07,13.61,15.14
Ccdc86,7.77,6.03,13.5,8.97,5.37,10.7,7.26,13.28,10.32,6.67,11.31
Ccdc88a,1.82,3.9,0.76,3.81,2.04,1.76,2.7,2.27,2.14,3.53,3.45
Ccdc88b,48.23,70.37,44.88,60.91,48.71,133.37,152.29,80.79,158.99,78.57,122.81
Ccdc88c,23.41,8.3,8.13,9.27,14.07,17.4,9.96,7.51,4.06,12.87,16.89
Ccdc9,43.54,38.06,44.06,28.36,36.99,54.25,50.58,62.15,87.67,49.11,44.17
Ccdc90b,2.12,1.98,2.74,6.44,7.26,7.01,3.48,6.04,4.44,5.14,7.03
Ccdc91,1.28,4.38,0.76,4.34,7.39,7.34,5.25,4.42,2.86,2.28,6.53
Ccdc93,13.1,4.97,6.1,6.77,16.39,10.24,4.02,11.29,3.24,9.67,4.12
Ccdc97,22.72,33.24,32.14,22.68,27.49,16.22,22.75,40.72,17.92,13.86,24.29
Ccl25,7.18,3.96,14.34,5.07,3.02,10.38,2.03,14.05,4.54,6.7,3.31
Ccl3,7292.73,8397.22,10233.74,9493.7,13236.86,6573.82,6573.98,6533.86,4569.64,5247.23,5174.56
Ccl4,7170,9840.55,9587.49,11577.44,11974.4,5668.43,5466.85,5693.4,5273.56,4701.71,4646.94
Ccl6,3267.31,1964.41,2013.43,1948.72,3111.92,3768.81,3253.37,4025.1,3668.81,4375.34,5415.72
Ccl9,4.01,0.87,12.71,11.47,4.51,15.81,34.42,21.78,14.48,18.47,26.4
Ccm2,80.15,41.71,58.94,41.07,101.67,51.27,38.14,58.31,48.01,70.57,73.93
Ccnc,19.92,25.16,37.76,11.84,42.22,27.77,9.01,41.43,16.07,54.84,26.39
Ccnd2,91.76,32.42,72.66,50.41,65.29,18.51,16.72,44.98,31.13,38.45,53.38
Ccnd3,157.27,96.45,167.36,126.22,165.89,140.99,128.82,205.8,124.55,145.44,118.91
Ccndbp1,55.48,90.37,95.47,112.01,65.79,99.54,84.67,73.6,91.02,77.95,72.15
Ccne2,2.13,1.36,2.52,1.7,1.36,2.31,0,3.43,0.32,2.1,0.89
Ccnf,0.98,4.17,3.29,3.2,0.46,2.72,4.74,2.79,3.36,1.29,8.08
Ccng1,35.33,36.8,33.27,52.64,40.54,14.52,31.78,29.68,33.41,36.53,37.46
Ccng2,131.6,118.92,96.48,107.52,146.78,172.86,161.88,189.27,238.59,262.16,236.33
Ccnh,20.54,43.76,51.53,23.37,24.73,52.09,40.58,42.34,39.67,32.01,44.06
Ccni,141.35,155.84,135.17,135.53,108.94,135.75,157.01,95.33,116.33,106.73,110.39
Ccnk,8.11,9.9,10.12,4.95,5.46,6.19,8.65,7.43,12.58,13.18,10.5
Ccnl1,656.33,487.67,564.23,551.65,622.21,615.35,393.29,612.56,488.76,665.2,632.32
Ccnl2,150.32,163.08,122.56,178.6,176.76,131.31,118.77,100.42,101.26,139.57,130.24
Ccnq,18.35,8.33,19.96,7.94,6.96,5.16,12.78,1.97,1.77,2.35,0.55
Ccnt1,123.62,127.63,152.88,116.58,107.65,131.62,45.58,97.55,54.09,93.5,97.15
Ccnt2,87.19,76.59,87.52,75.14,82.68,91.77,51.1,60.75,63.78,51.46,70.89
Ccny,11.45,16.53,6.45,6.78,6.33,7.15,16,7.77,6.16,6.7,8.14
Ccnyl1,5.72,1.5,2.09,3.01,2.03,1.47,3.46,7.49,1.89,1.04,1.94
Ccpg1,289.4,245.58,284.74,232.28,359.75,204.96,141.64,195.99,107.68,209.63,187.27
Ccr1,498.27,870.15,638.62,873.53,708.57,565.23,567.96,378.87,388.11,426.45,367.64
Ccr1l1,8.83,19.15,7.51,7.9,7.42,7.15,3.25,10.53,17.96,13.16,17.43
Ccr3,335.79,548.31,311.52,542.44,508.29,487.71,564.49,369.63,572.26,582.84,535.16
Ccrl2,2047.13,1901.96,2052.53,2235.31,2670.4,1723.91,1362.35,2023.1,1427.47,2394.76,2727.76
Ccs,18.45,45.71,31.74,36.93,23.59,44.25,30.88,47.77,29.41,44.94,17.71
Ccser2,1.81,7.14,9.44,5.18,2.58,5.39,3.4,10.28,9.16,2.48,8.15
Cct2,219.87,208.44,204.38,183.62,130.75,197.28,180.24,207.54,156.18,160.58,172.42
Cct3,166.61,144.44,171.57,109.73,77.67,126.86,125.74,177.02,124.14,106.8,89.29
Cct4,143.05,144.93,159.86,115.98,106.14,127.03,100.44,163.01,107.46,108.22,102.3
Cct5,103.41,145.61,131.26,117.8,103.86,152.62,137.99,149.07,116.12,69.97,125.11
Cct6a,51.26,34.16,48.28,42.63,35.35,25.48,50.96,66.18,76.1,41.1,35.42
Cct7,238.35,118.52,239.93,116.82,112.31,143.15,123.95,280.23,109.59,86.39,135.54
Cct8,173.58,157.55,192.11,116.06,100.07,165.22,189.66,256.65,130.42,155.31,152.34
Ccz1,4.51,14.81,12.78,12.71,3.83,5.74,8.03,6.02,10.72,12.75,11.63
Cd14,42.07,24.52,25.09,29.51,19.58,4.35,12.96,49.78,5.97,14.25,10.31
Cd164,116.86,119.86,143.25,125.65,121.47,94.38,77.81,101.93,68.74,90.14,85.46
Cd1d1,17.16,30.89,40.35,49.45,32.47,19.2,20.02,22.02,26.29,35.07,21.13
Cd22,62.97,92.84,98.42,60.87,79.22,53.78,19.87,14.84,13.24,22.11,13.58
Cd244a,44.35,61.14,44.84,92.06,72.06,42.09,42.18,74.3,58.2,48.44,47.82
Cd24a,609.99,521.84,604.18,550.61,671.84,603.58,642.55,756.33,645.94,796.25,927.83
Cd274,217.87,264.31,228.64,291.07,257.96,235.78,171,245.21,222.87,186.1,167.25
Cd2bp2,31.92,28.23,37.84,29.15,20.9,28.64,32.69,23.05,28.64,23.38,24.26
Cd300a,146.78,248.16,223.98,207.88,206.71,225.17,306.78,196.33,218.19,162.09,196.53
Cd300c2,342.3,492.71,556.75,464.71,354.61,299.71,295.97,322.11,345.68,292.6,303.64
Cd300lb,18.07,2.78,5.84,7.37,16.74,16,17.79,23.5,9.33,27.71,17.91
Cd300ld,203.11,322.74,270.98,338.9,271.71,117.2,129.73,137.8,105.84,99.98,84.89
Cd300lf,1564.37,1991.49,1665.85,1496.12,1542.28,1372.41,1295.71,1247.46,1046.37,973.9,922.85
Cd33,209.32,242.4,331.79,225.84,300.57,129.92,80.3,106.2,68.45,40.3,61.82
Cd34,8.07,10.79,8.02,1.96,7.13,11.36,10.93,15.02,7.74,6.1,13.74
Cd37,206.52,228.68,157.91,223.6,199.56,402.03,338.18,278.05,370.49,235.85,370.94
Cd3eap,2.86,5.26,4.79,1.52,4.71,2.23,1.75,6.47,3.4,1.69,5.24
Cd44,238.66,359.13,262.42,357.99,401.02,233.6,219.59,270.47,191.44,251.75,213.67
Cd47,191.44,117.02,159.88,166.19,231.34,111.87,119.51,180.17,132.4,179.68,206.45
Cd48,54.28,56.17,72.21,96.42,89.71,59.18,52.03,52.82,71.15,68.61,65.91
Cd52,307.63,399.31,275.13,456.88,392.07,718.08,1091.6,657.65,1064.66,779.8,970.59
Cd53,436.11,542.93,614.49,455.96,513.34,297.9,233.45,324.85,236.93,205.12,194.35
Cd55,13.66,10.56,8.82,0.96,8.48,13.32,5.75,18.72,15.08,17.15,22.99
Cd63,706.43,1165.45,1028.2,966.08,694.24,988.67,797.97,775.36,740.79,689.79,652.48
Cd68,106.71,90.01,149.5,100.27,126.79,61.22,48.72,63.05,45.17,41.27,36.15
Cd69,248.51,320.46,233.88,331.2,391.39,571.07,573.54,740.01,736.94,1070.72,1174.89
Cd72,8.55,3.02,6.95,11.78,5.07,1.37,1.37,9.65,2.71,2.23,0
Cd74,177.8,160.9,192.64,172.21,189.53,146.28,173.01,874.17,322.14,147.02,160.36
Cd80,126.21,303.24,132.82,246.02,184.14,107.85,187.8,75.39,100.13,83.96,103.26
Cd81,50.14,53.65,64.91,93.21,53.25,64.18,51.84,117.12,36.54,59.22,41.14
Cd82,335.68,501.19,421.73,447.89,403.54,418.09,491.02,409.3,355.59,295.98,248.93
