gene,SI_P1,SI_P3,SI_P4,SI_P5,SI_P8,SI_N2,SI_N3,SI_N4,SI_N5,SI_N7,SI_N8
Mrps35,56.46,24.48,74.63,6.03,57.1,43.05,22.07,23.53,28.27,33.7,41.68
Mrps36,21.04,13.35,31.63,28.8,29.6,36.31,24.87,34.64,37.75,20,25.87
Mrps5,10.97,10.05,25.84,22.52,24.34,12.29,8.67,8.78,15.71,14.93,17.85
Mrps6,247.43,126.04,280.46,78.15,38.12,130.82,122.57,240.58,67.75,52.55,44.7
Mrps7,22.62,14.23,22.67,22.21,17.23,20.85,35.72,22.35,23.52,13.15,24.41
Mrps9,19.86,42.47,20.63,48.89,24.92,39.96,36.45,30.26,39.88,35.06,30.73
Mrs2,1.99,2.28,12.78,19.13,17.98,4.23,1.18,1.76,1.66,1.47,26.64
Mrtfa,33.17,9.99,28.3,31.59,47.1,12.43,20.17,19.41,18.14,35.56,22.56
Mrtfb,6.13,1.63,4.32,2.84,5.84,1.14,1.07,1.3,2.38,2.5,1.39
Mrto4,19.16,41.55,48.89,42.49,36.66,71.22,69.76,57.14,72.17,41.65,51.72
Msantd2,4.75,3.8,1.46,3.18,7.54,4.18,5.76,4.17,4.86,3.81,3.83
Msantd4,6.85,13.6,11.6,4.66,11.18,4.8,6.88,5.48,7.97,6.13,8.07
Msh3,6.46,8.11,11.26,7.89,5.73,2.6,3.37,7.39,4.92,3.98,0.53
Msh6,7.75,3.44,3.75,1.63,3.75,5.85,4.17,6.16,1.99,5.42,1.82
Msi2,1.07,4.01,2.72,5.17,2.42,6.92,2.88,3.27,5.51,6.48,4.58
Msl1,22.12,19.53,14.4,20.04,22.11,16.29,30.6,25.79,27.64,18.16,22.61
Msl2,13.56,11.45,11.06,6.03,4,9.02,9.36,12.92,12.24,10.29,7.79
Msl3,4.67,9.42,9.22,6.44,10.85,5,7.3,6.17,1.97,9.02,7.31
Msmo1,220.25,621.21,515.79,502.42,478.01,246.56,185.88,212.52,131.99,169.18,111.9
Msn,82.27,109.88,77.66,107.98,110.43,109.21,119.67,116.7,73.64,104.68,99.46
Msra,34.33,40.07,33.55,38.51,29.52,31.13,39.39,49.69,45.11,41.69,38.65
Msrb1,114.19,114.13,122.63,93.24,94.45,164.58,105.89,117.18,148.77,130.89,159.24
Msrb2,8.54,5.95,52.3,5.46,6.52,11.17,6.81,8.81,6.85,9.69,3.93
Msto1,3.12,5.31,6.7,14.57,8.8,9.45,6.61,4.25,6.23,9.74,11.96
Mt1,89.23,55.2,130.57,22.74,19.26,25.29,10.4,39.1,44.27,5.58,3.87
Mta2,46.58,72.88,50.14,74.36,62.5,46.46,63.84,50.5,41.04,39.89,54.53
Mta3,56.81,74.09,59.72,74.84,51.46,43.36,25.99,34.94,17.91,40.74,19.31
Mtarc2,65.06,70.51,59.79,65.94,49.69,88.63,114.51,48.41,67.12,46.47,73.58
Mtch1,7.35,26.7,18.02,11.81,7.22,28.83,22.87,18.39,35.97,27.51,12.59
Mtch2,96.17,145.44,131.36,101.17,109.89,111.5,110.88,90.67,91.39,101.73,94.25
Mtdh,47.03,74.35,48.82,61.58,57.6,55.28,59.48,62.32,48.22,47.71,58.27
Mterf1a,5.51,4.3,2.59,4.07,1.23,7.67,12.13,4.36,2.9,7.71,2.98
Mterf3,37.33,70.35,48.75,29.53,33.71,28.63,28.99,35.7,37.96,27.86,40.98
Mterf4,19.92,30.17,20.88,16.87,26.47,12.26,17.61,21.01,16.95,11.89,8.43
Mtf1,93.14,62.69,77.71,60.45,70.27,58.21,64.59,114.81,55.59,33.77,32.68
Mtf2,28.22,30.81,36.7,15.98,30.84,16.15,30.67,7.75,14.59,19.13,14.69
Mtfmt,5.07,2.13,2.38,8.38,5.47,1.93,0.97,5.4,1.99,7.5,4.27
Mtfr1,101.57,97.35,105.21,61.35,98,68.62,41.66,86.9,25.81,85.35,78.06
Mtfr1l,49.8,41.78,35.68,50.03,52.91,31.11,45.27,35.88,47.28,43.77,53.58
Mtg1,7.34,3.2,3.13,8.32,12.53,12.9,7.41,2.32,3.49,11.37,5.05
Mtg2,13.61,16.68,18.43,11.07,9.18,6.14,4.19,8.2,11.04,9.63,16.04
Mthfd2,8.99,24.83,6.12,6.07,2.31,8.87,20.09,2.01,4.45,5.37,1.14
Mthfs,50.71,72.86,57.82,60.31,52.53,41.04,71.85,47.86,98.33,47.15,61.2
Mthfsd,16.73,18.85,6.74,5.65,17.14,10.4,0.27,3.6,18.38,18.45,21.31
Mthfsl,55.24,53.59,59.68,63.12,45.65,43.34,60.36,60.55,28.32,27.41,78.46
Mtif2,2.99,8.22,21.67,6.3,13.99,10.97,4.66,8.31,3.77,2.06,7.82
Mtif3,7.26,17.47,1.19,5.16,14.06,7.57,20.91,50.68,1.92,4.25,4.16
Mtm1,18.07,2.87,8.7,10.91,17.41,9.8,12.75,11,6.88,14.07,10.42
Mtmr1,5.79,11.03,5.77,13.05,5.74,4.89,9.95,5.75,9.24,8.23,11.73
Mtmr10,6.67,4.43,1.2,2.99,2.84,0,0.35,1.21,1.41,4.41,3.51
Mtmr12,25.2,17.94,26.81,20.7,20.38,22.97,22.39,24.22,13.06,25.1,25.27
Mtmr14,15.57,25.12,6.02,12.43,16.79,26.42,21.08,32.85,12.34,16.01,14.29
Mtmr2,24.59,32.43,18.35,24.32,15.98,11.09,7.9,11.7,11.14,15.68,8.64
Mtmr3,22.8,23.75,15.3,20.06,22.61,19.87,8.69,16.52,11.9,22.28,18.23
Mtmr4,9,24.75,12.92,14.57,14.79,10.7,13.64,9.32,8.86,7.05,9.01
Mtmr6,54.11,69.71,57.55,57.4,74.06,100.2,101.36,83.47,91.87,77.75,92.26
Mto1,33.43,18.41,24.78,6.87,16.98,12.24,16.7,17.7,2.99,10.22,20.22
Mtor,8.86,12.59,20.49,6.14,5.48,8.2,13.08,15.81,3.2,3.46,6.75
Mtpap,21.2,19.14,25.47,21.53,27.22,35.48,18.46,22.4,14,28.49,22.65
Mtpn,125.65,140.85,86.29,122.78,125.58,78.74,74.1,83.87,72.08,96.23,84.32
Mtr,12.65,11.25,12.83,14.25,12.78,10.13,5.77,12.85,14.82,15.09,17.59
Mtres1,10.5,5.5,14.36,9.65,9.53,17.2,13.63,11.29,23.63,12.08,10.61
Mtrex,20.96,20.03,13.29,23.2,22.7,17.08,29.1,12.24,19.28,18.22,14.74
Mttp,5.79,3.22,2.84,1.35,4.06,5.04,5,3.89,2.49,5.41,5.31
Mtus1,124.83,70.86,107.07,52.45,131.64,64.46,41.94,77.13,36.07,83.1,56.71
Mtx1,43.86,42.54,36.92,45.92,66.5,52.49,69.55,71.05,56.51,64.94,53.06
Mtx2,19.59,21.03,13.82,28.65,11.88,20.26,7.06,11.46,9.81,25.52,20.53
Mul1,10.21,14.28,16.88,11.22,7.76,15.54,7.11,14.36,4.09,5.11,5.94
Mus81,5.32,21.83,21.74,4.46,9.37,10.93,21.17,7.94,1.63,61.58,2.87
Mvb12a,37.23,34.21,37.99,26.74,27.93,22.56,50.83,37.06,36.28,16.08,54.72
Mvb12b,33.35,24.46,28.47,48.5,35.68,27.91,13.29,29.09,27.18,28,33.79
Mvd,12.5,23.55,41.57,39.49,25.87,33.55,16.68,35.05,25.98,21.74,20.19
Mvp,24.16,39.93,50.68,49.27,31.41,34.06,49.57,44.19,28.42,31.35,46.65
Mxd1,229.52,175.13,211.87,160.64,214.89,264.9,156.55,325.04,116.5,147.46,178.33
Mxd4,10.09,8.5,12.53,11.06,13.24,12.79,5.82,8.86,12.28,8.75,12.29
Mxi1,24.36,20.06,32.37,17.4,29.98,27.47,13.57,23.28,16.48,16.46,23.2
Myadm,348.69,293.1,370.81,374.01,460.85,351.26,300.97,420.43,337.23,505,535.62
Mybbp1a,13.74,17.08,11.62,16.86,19.15,18.62,13.08,22.78,15.75,9.83,35.41
Myc,7.17,5.65,5.12,1.52,2.39,85.96,73.21,71.91,56.58,61.87,44.67
Mycbp,42.34,8.97,12.25,18.53,16.11,25.54,38.46,31.21,38.9,22.35,24.75
Mycbp2,34.33,20.1,24.19,33.38,29.16,27.07,26.24,21.01,29.89,28.7,20.43
Myd88,145.47,305.07,235.13,264.78,212.71,235.35,349.85,225.28,230.56,166.53,200.43
Mydgf,66.88,61.91,58.38,55.75,45.06,39.39,86.85,46.02,41.11,42.18,44.2
Myef2,8.44,7.56,10.04,4.27,7.84,3.86,4.46,3.97,9.1,5.11,5.76
Myg1,32.52,26.48,52.86,28.24,36.39,35.64,24.32,27.48,26.92,48.44,14.71
Myh9,77.6,92.26,94.79,73.3,127.72,96.06,83.15,73.92,77.96,106.35,87.75
Myl12a,823.53,1175.7,909.19,1114.52,944.74,1207.02,1468.1,1200.29,1293.02,1295.65,1100.33
Myl12b,1039.86,1791.06,1312.89,1598.69,1271.13,1500.05,1556.72,1308.64,1439.55,1359.73,1321.03
Myl6,1478.26,1742.49,1548.02,1926.83,1651,2075.13,2260.61,1968.84,3076.24,2473.48,2436.01
Mylip,96.66,61.53,71.11,39.43,70.81,66.92,37.72,94.28,42.07,44.59,60.98
Mylk,36.56,41.36,33.68,37.77,34.37,21.94,16.89,15.31,13.07,19.05,20.25
