gene,BM_1,BM_2,BM_3,Blood_1,Blood_2,Blood_3,Blood_4,SP_1,SP_2,SP_3,SP_4,Lung_1,Lung_2,Lung_3,Skin_1,Skin_2,Skin_4,Colon_1,Colon_2,Colon_4,SI_1,SI_2,SI_3,SI_4
Arsa,8.43,11.68,7.05,12.68,18.19,11.83,12.11,13.22,8.12,12.93,21.31,9.44,9.79,7.19,10.88,14.54,11.07,18.97,15.12,17.57,35.27,38.38,30.67,24.47
Arsb,132.91,121.62,95.97,6.25,9.94,8.73,6.31,31.1,14.36,11.78,18.01,5.95,2.85,2.47,2.91,3.91,2.35,5.66,15.07,13.24,13.66,9.54,12.03,12.31
Arsg,14.04,9.7,13.44,19.02,15.9,29.61,25.5,17.52,33.24,14.42,37.99,17.14,17.31,21.47,3.51,9.07,18.83,22.52,21.21,21.32,1.12,1.4,3.11,2.39
Arsk,2.16,5.87,1.18,3.42,1.29,2.24,0.85,2.6,6.52,2,4.99,1.17,3.84,1.33,5.66,1.33,0.69,3.15,0.69,2.22,3.44,5.86,2.52,4.41
Art3,2.06,3.26,2.67,0.61,1.8,15.11,13.12,0,9.56,1.57,0.54,0.86,0,2.33,3.82,4.1,4.66,1.43,3.57,1.52,21.05,6.22,18.58,14.14
Arv1,5.48,4.44,4.73,2.61,11.21,8.42,3.96,4.13,10.82,5.66,0,2.25,0,0,4.79,0,1.23,4.4,0,3.86,0,0,2.87,0
Arvcf,3.85,1.2,4.84,0.19,0,1.99,0.78,1.67,0.23,2.27,1.26,0,0,0,1.54,0,3.02,0,3.34,3.24,1.93,0.76,0.73,0
As3mt,20.89,25.91,27.88,6.31,21.11,8.9,11.25,5.16,9.63,5.94,12.77,12.47,13.43,12.97,12.45,7.68,8.56,20.56,2.6,22.29,18.69,27.98,28.69,32.32
Asah1,66.35,63.96,60.8,47.19,61.94,54.06,51.94,51.53,69.87,69.28,55.91,22.04,26.88,40.8,49.92,22.92,32.83,78.33,82.23,132.14,115.37,114.26,119.08,147.68
Asap1,49.63,44.24,59.74,142.5,143.49,108.65,116.87,156.18,180.07,158.08,77.43,138.11,133.54,114.04,195.42,162.22,233.34,130.81,115.98,101.7,45.15,79.78,69.88,71.13
Asb1,2.95,1.63,3.5,6.29,3.59,4.32,3.29,3.99,1.5,2.32,3.2,10.7,8.88,6.2,5.07,2.65,3.22,1.64,2.17,5.13,1.64,2.23,5.24,2.31
Asb2,2.18,3.86,6.51,4.82,9.04,24.2,5.4,9.99,11.88,7.02,8.93,9.21,21.37,19.72,242.74,233.2,174.86,181.33,163.16,105.29,216.03,179.85,196.36,174.02
Asb3,34.74,16.54,19.47,19.15,29.07,27.5,26.26,21.69,32.44,22.64,37.44,3.11,4.44,9.9,13.91,2.03,27.21,21.34,22.48,11.97,19.62,14.17,26.32,14.84
Asb6,7.4,8.11,9.37,4.78,10.09,9.34,5.33,4.19,9.15,11.95,12.49,3.93,7.64,3.94,15.06,7.74,17.1,11.86,6.95,11.89,11.08,8.7,8.84,11.16
Asb7,6.02,6.06,5.65,2.39,3.41,2.98,5.12,2.27,3.17,5.69,5.27,0.35,0,0,9.29,1.45,0.5,3.32,2.23,1.56,3.93,1.53,2.17,0.1
Asb8,24.2,28.47,27.8,12.15,14.95,10.75,6.76,23.83,41.38,32.99,39.23,23.83,14.16,26.79,25.73,38.28,6.37,26.85,13.81,14.66,18.85,11.89,35.36,37.01
Ascc1,17.58,16.28,17.57,5.23,20.16,15.17,10.22,20.91,17.85,21.89,12.91,13.14,0.99,16.68,7.32,3.6,8.53,8.83,9.13,10.14,18.47,15.17,23.69,14.74
Ascc2,4.36,7.3,3.7,3.33,1.9,3.03,6.74,3.8,2.97,2.72,5.93,1.94,2.81,0.66,9.29,8.76,6.16,10.98,8.07,9.9,11.91,7.84,6.91,9.17
Ascc3,11.61,9.1,9.98,7.4,15.3,30.25,16.69,31.24,27.21,31.22,35.03,24.71,18.28,34.82,26.74,18.4,31.49,14.83,31.8,28.59,18.04,15.63,22.74,28.59
Ascl2,6.39,3.14,3.82,9.68,14.41,16.16,17.19,14.54,13.15,16.91,15.21,0,0.66,1.69,2.35,2.16,12.2,2.72,1.41,2.56,2.22,0,1.9,1.54
Asf1a,16.64,22.14,11.82,8.52,13.5,15.99,13.36,4.77,24.35,33.98,6.01,14.79,4,8.44,23.98,12.2,27.38,5.42,8.53,7.38,15.53,7.89,11.41,4.58
Asf1b,58.83,64.5,63.07,0,0,0.25,0,5.31,0.28,4.46,8.18,0,0,0,0.51,2.71,0,0,2.17,2.48,1.39,2.16,3.09,5.87
Ash1l,13.22,8.71,11.98,25.19,31.48,26.44,20.79,13.45,12.81,25.03,17.99,7.17,7.94,13.31,18.32,15.88,20.9,8.73,10.16,6.39,12.88,7.49,9.42,14.86
Ash2l,12.78,11.62,16.77,4.85,4.41,4.26,7.13,5.72,5.16,4.37,6.46,4.15,3.74,1.25,3.8,3.56,4.97,12.75,3.38,3.65,7.08,6.97,3.49,6.38
Asl,16.96,12.63,28.83,20.85,16.24,18.84,17.76,32.25,18.51,32.98,19.67,18.48,8.41,13.66,25.68,10.25,14.67,25.12,15.61,22.91,23.54,21.64,15.12,31.06
Asna1,17.7,17.32,28.52,15.79,13.81,17.73,14.44,21.22,18.32,37.44,14.3,23.29,19.07,25.54,23.55,12.61,6.27,26.62,31.78,22.89,22.09,18.75,25.18,29.46
Asns,2.79,9.49,6.07,0,0,0,0,2.69,0,0,3.26,5.53,0,1.52,0.62,4.62,3.86,0,4.13,0,2.43,1.35,0.62,0.24
Asnsd1,53.63,57.11,55.17,36.19,23.21,49.12,24.07,32.89,52.42,30.92,37.76,28.84,28.31,13.2,41.63,47.54,14.7,20.85,43.36,33.12,33.64,36.78,30.93,31.82
Aspa,11.85,6.04,5.98,13.72,14.26,21.77,10.39,6.2,14.9,4.5,7.59,39.56,21.83,31.16,22.53,25.11,24.52,26.35,10.56,19.76,7.29,14.99,12.77,9.96
Asph,12.26,10.7,8.78,29.46,27.14,16.97,19.1,14.75,24.8,17.93,26.65,24.78,29.35,44.62,99.52,133.74,96.01,23.53,23.67,22.93,12.57,12.29,13.41,11.89
Aspm,4.65,3.99,2.86,0,0.11,0,1.44,0.41,0,1.17,0,0,0,0,0,0.11,0,0.26,0.16,0,0,0.71,0,0.04
Asprv1,10.02,11.3,6.86,0,2.15,0,2.53,0,1.34,2.41,0,5.2,1.83,1.26,0.61,11.64,0,0,1.48,0,0,0,0,0.65
Aspscr1,31.37,34.25,45.95,37.55,66.76,41.62,68.81,25.07,61.34,77.45,53.72,15.18,24.53,32.19,16.36,22.29,11.04,36.47,31.83,42.64,35.24,48.22,70.34,48.2
Asrgl1,4.98,10.14,4.6,0.66,0.61,1.93,2.83,2.95,9.03,2.19,2.01,1.68,4.89,0.57,0.88,0,0.4,0.65,0.95,1.92,0.74,1.99,0.45,0.92
Ass1,3.76,4.91,9.02,0,0,0,0,0.88,0,1.29,0,0.86,0,0,1.91,1.96,0,0,0,0,0,0.99,0,0
Aste1,2.67,5.4,2.96,3.27,9.52,10.22,6.5,4.64,3.74,6.09,3.96,2.89,2.58,2.18,5.46,1.55,5.22,5.5,7.57,8.99,9.79,14.74,17.17,5.93
Asxl1,25.41,18.83,16.76,45.38,38.21,37.04,39.89,28.86,44.57,37.9,33.87,13.07,11.27,6.44,32.93,29.47,28.51,25.91,33.86,26.23,30.3,23.19,22.87,16.55
Asxl2,4.27,5.46,6.8,5.57,9.87,5.29,7.24,10.17,7.64,6.08,7.71,2.62,4.59,3.22,3.15,0.15,1.98,2.26,3.07,4.67,2.26,1.86,6.56,2.74
Atad1,24.49,39.8,30.99,33.61,23.01,15.47,15.41,15.01,31.87,22.61,35.33,32.05,17.27,10,38.29,30.93,16.89,23.27,27.63,39.81,25.42,47.53,34.58,39.64
Atad2,31.35,35.96,35.16,7.41,1.16,2.8,2.75,10.53,8.12,7,9.27,0.34,2.35,0.77,7.34,9.89,12.3,6.65,2.94,3.17,7.26,8.83,9.02,5.62
Atad2b,3.71,4.87,3.51,5.75,5.26,10.79,6.3,4.88,8.55,5.63,12.15,4.46,5.03,4.86,3.36,2.26,9.1,6.59,3.18,6.91,10.57,5.12,8.88,7.8
Atad3a,8.17,11.51,8.95,6.18,1.58,5.42,4.39,11.8,11.49,4.38,9.26,3.94,0,4.61,6.77,6.66,5.74,3.92,6.08,12.73,4.29,8.62,3.95,3.8
Atad5,5.56,5.87,5.53,0.84,0.65,0.88,0.33,1.3,0,0.71,1.13,0,0,0.32,0.09,0.64,1.44,1.3,1.33,0.73,0.53,0.11,0.41,2.43
Atat1,20.72,11.65,11.18,23.31,21.87,19.02,23.77,33.97,26.13,33.76,14.2,12.33,18.74,12.47,28.71,31.84,18.14,32.62,27.74,15.56,24.76,9.91,16.68,10.53
Ate1,26.09,19.66,18.51,16.04,40.48,38.58,20.35,24.67,23.51,26.48,27.02,9.18,11.59,13.49,15.69,20.15,16.6,21.64,23.87,20.04,17.67,25.31,29.21,21.52
Atf1,41.44,45.68,36.17,96.28,92.9,122,83.64,91.51,112.59,105.34,109.35,62.76,64.35,90.98,141.3,113.71,172.26,89.68,86.69,83.77,107.13,84.1,87.87,89.63
Atf2,16.45,22.02,28.72,23.18,31.82,24.19,19.82,24.62,30.48,46.63,21.91,21.5,25.13,8.47,30.49,33.56,49.17,22.47,27.83,16.35,40.46,27.47,21.5,25.88
Atf3,0,0.86,0.33,0.78,0.24,3.06,0,0.62,2.73,0.75,0.34,21.85,36.28,23.09,31.3,47.27,20.43,213.89,313.02,206.38,714.02,510.4,332.52,206.42
Atf4,113.26,120.27,85.43,161.67,151.63,148.19,137.94,151.78,113.72,137.15,122.9,290.67,281.96,294.66,460.2,476.36,347.37,1091.8,1223.77,879.46,1452.78,1295.41,938.34,660.15
Atf6,3.53,2.6,4.37,3.42,3.92,5.14,5.76,3.68,8.07,3.42,5.26,1.84,2.25,3.15,10.17,8.13,9.85,5.16,4.86,3.46,4.67,7.71,5.48,8.6
Atf6b,12.21,13.05,18.43,5.8,13.98,10.34,8.99,5.27,15.58,10.44,11.06,11.15,7.99,8,11.6,15.61,10.52,17.38,11.4,14.14,14.92,18.38,16.53,12.03
Atf7,36.73,39.24,48.27,51.6,38.08,22.94,66.34,81.17,65.72,113.63,55.84,46.42,29.25,41.74,58.44,81.18,9.77,18.06,37.28,17.25,31.03,45.05,57.66,51.52
Atf7ip,21.3,18.2,16.11,37.07,28.52,40.51,36.8,31.22,40.65,47.68,40.39,15.83,17.77,12.42,44.28,63.14,59.61,24.99,22.37,22.61,38.68,65.71,27.05,29.71
Atg10,3.45,5.11,8.22,1.29,0,0.28,0,0,0.33,0,6.01,1.03,1.81,0,2.23,7.84,4.39,3.8,1.67,8.28,22.22,7.95,6.86,28.93
Atg101,75.93,65.1,69.76,56.04,65.79,59.64,64.55,59.49,96.74,68.29,109.41,35.26,38.18,61.81,45.74,45.58,76.52,64.52,69.3,55.06,65.3,67.85,54.74,59.62
Atg12,17.45,17.12,17.85,18,12.71,10.82,15.64,12.35,20.42,19.47,23.5,7,12.87,9.16,17.5,23.84,28.92,30.03,17.92,20.8,32.07,12.79,21.15,14.06
Atg13,8.63,10.1,11.08,22.01,9.29,22.96,8.41,7.91,7.64,20.23,10.49,5.61,2.84,4.42,15.18,8.87,5.6,20.61,16.56,9.02,17.56,19.66,13.84,14.28
Atg16l1,11.22,13.24,10.25,8.82,20.11,15.41,12.13,16.3,19.61,19.04,13.07,10.79,10.85,14.9,25.5,17.18,30.55,11.77,14.18,14.69,8.76,15.83,13.47,5.66
Atg16l2,7.02,13.53,13.39,5.86,0.99,2.18,2.08,7.88,4.19,3.05,8.1,42.06,23.95,13.55,24.45,28.47,20.81,67.01,47.3,26.72,56.75,56.03,89.37,45.4
Atg2a,7.49,7.24,10.15,18.79,10.61,15.78,15.17,11.06,9.98,13.09,14.33,14.19,10.3,16.62,6.88,5.05,12.16,40.77,38.1,32.65,66.82,67.74,39.59,38.28
Atg2b,6.73,7.16,4.49,3.36,8.09,8.16,9.54,5.84,2.34,17.03,2.68,4.52,4.99,3.96,3.99,5.03,10.61,4.84,8.03,2.39,11.03,12.16,8.38,7.86
Atg3,57.22,63.53,71.56,74.62,84.94,81.98,68.91,80.66,85.26,59.85,69.39,88.08,68.41,80.24,119.58,128.14,100.73,99.59,81.36,70,99.48,94.57,86.65,76.14
Atg4a,9.32,11.81,15.62,10.31,15.75,9.99,9.83,12,4.86,12.73,2.34,3.76,4.38,11.25,5.41,3.83,10.47,14.08,15.03,20.86,11.93,6.02,14.12,10.13
Atg4b,20.36,19.14,36.4,34.89,25.49,38.33,36.66,14.74,40.24,40.23,38.24,27.01,13.57,18.58,44.15,33.2,52.76,30.84,29.76,34.98,30.93,35.11,20.91,28.82
Atg4c,2.81,4.32,4.53,5.19,5.98,8.23,7.67,5.79,6.87,10.24,8.05,0,0,1.53,2.45,2.44,6.52,0.81,2.82,3.66,2.48,2.02,11.92,4.99
Atg4d,16.54,11.93,10.42,19.26,16.55,11.45,27.93,8.67,29.52,14.5,22.84,23.73,25.12,15.86,34.97,24.69,12.64,26.88,22.5,17.23,32.68,12.03,23.89,35.74
Atg5,25.86,25.12,30.51,23.58,32.11,24.75,38.38,29.52,33.57,36.01,38.48,19.05,19.6,15.02,23.76,25.83,27.68,29.54,36.42,26.43,31.15,36.59,29.45,43.41
Atg7,23.99,26.37,40.11,27,20.18,32.4,24.54,13.83,34.68,49.97,23.45,22.39,21.58,9.6,41.77,19.96,22.58,45.26,34.59,41.85,22.23,40.99,64.2,36.6
Atg9a,13.98,13.97,15.39,8.07,11.65,14.18,10.6,4.6,9.51,12.82,23.11,13.38,7.15,6.08,26.25,26.33,27.21,22.45,23.01,25.06,16.98,21.77,17.58,21.37
Atic,8.86,21.79,19.27,4.01,2.6,5.42,8.73,6.52,13.82,10.04,6.38,3.41,3.05,0.85,3.44,8.86,11.33,6.5,7.89,2.77,3.9,8.97,5.44,1.57
Atl2,7.37,7.13,7.8,6.88,3.86,2.87,3.74,1.46,5.56,6.18,3.88,19.54,17.81,12.88,9.33,7.63,1.4,17.22,20.3,18.29,16.89,16.5,18.61,14.45
Atl3,6.1,4.14,5.28,7.9,3.94,3.23,4.98,3.83,3.96,4.48,6.87,7.04,4.11,3.06,7.12,5.14,7.55,7.66,5.2,7.42,11.02,15.58,13.63,14.58
Atm,1.86,1.88,0.61,0.69,0.46,0.36,0.71,0.08,1.37,1.26,1.11,0,0,0,0.04,10.78,0.78,0.64,3.94,0.54,0.61,3.85,0.26,0.85
Atmin,1.71,3.2,2.18,6.83,2.86,2.97,2.25,4.97,3.5,2.93,1.84,9.01,3.34,7.06,2.34,4.08,4.92,2.2,2.72,4.38,2.88,1,2.78,7.51
Atn1,6.65,5.54,9.36,6.11,5.07,6.84,5.08,5.87,6.83,9,8.81,5.66,3.63,2.86,13.57,13.65,8.64,7.31,8.6,7.14,7.77,7.19,7.86,3.97
Atox1,387.9,359.65,339.54,526.82,543.95,522.72,557.83,707.58,476.67,470.59,456.96,526.71,577.31,502.92,475,479.94,447.07,391.18,350.5,453.6,384.25,422.84,379.61,475.82
Atp10a,1.21,1.57,2.12,0.05,0,0.07,0.83,0.1,0.58,0.24,0,0.13,0.73,0.06,1.19,0.24,0.46,0.39,0.54,2.32,0.48,0.54,0.9,0
Atp11a,21.68,23.45,22.2,50.69,33.22,28.27,37.89,31.67,42.43,44.17,31.27,26.07,25.01,18.27,50.13,32.85,32.85,38.41,37.09,33.17,22.11,21.66,25.94,21.94
Atp11b,97.29,76.52,90.8,123.85,157.31,143.83,146.54,188.53,171.91,127.08,152.86,200.73,228.38,215.02,109.76,132.97,138.71,82.42,75.91,77.86,42.83,57.25,54.21,54.34
Atp11c,4.59,3.38,3.44,1.82,7.43,3.49,3.32,4.61,6.43,4.66,4.88,2.78,3.92,5.9,7.33,1.87,6.02,3.83,3.52,5.97,1.75,2.35,1,1.98
Atp13a1,15.23,23.05,16.04,11.12,15.52,15.65,15.34,9.96,9.01,15.96,23.07,4.32,6.4,4.15,18.46,19.49,10.05,19.21,19.98,17.71,18.12,11.72,12.97,12.13
Atp13a2,5.28,9.6,9.55,37.75,43.05,26.25,20.74,14.92,26.7,18.68,30.59,9.3,7.29,12.67,14.23,12.47,16.66,23.37,11.95,24.26,26.42,18.99,26.95,24.88
Atp13a3,13.7,9.28,12.42,6.73,5.63,11.78,8.45,7.75,13.8,10.03,9.64,11.6,15.85,12.2,21.09,13.88,20.47,14.2,12.27,12.03,8.98,15.41,6.63,12.23
Atp1a1,5.8,8.21,7.55,10.79,14.03,8.85,13.35,19.7,8.6,9.21,9.77,18.7,18.58,22.59,10.95,10.92,23.14,9.13,9.84,10.13,6.83,7.31,5.12,11.84
Atp1a3,18.88,22.49,23.78,42.1,52.79,52.59,51.61,28.49,57.49,61.24,50.9,33.44,30.74,26.15,44.49,32.61,40.92,35.65,33.85,43.44,9,15.55,26.85,18.73
Atp1b1,19.9,13.63,17.97,0.44,1.2,2.77,0.47,8.8,3.87,1.06,2.44,4.75,5.17,2.23,0,2.05,0.87,7.18,2.02,5.7,74.98,61.4,47.54,56.79
Atp1b3,67.53,58.11,86.33,31.34,36.6,30.85,29.1,29.52,23.52,44.57,48.1,66.98,62.15,62.84,59.76,57.97,61.8,62.51,80.04,44.22,49.94,75.99,45.7,53.61
Atp23,3.24,6.01,7.76,40.04,54.61,27.73,34.14,25.73,33.94,28.82,18.69,2.68,0.73,0.51,5.09,3.45,7.54,0,6.63,0.54,8.5,1.24,1.91,4.92
Atp2a2,10.84,10.61,8.81,5.04,4.47,1.62,3.57,5.38,3.23,6.25,4.69,4,9.47,5.59,13.2,10.17,17.07,5.05,8.17,11.27,5.26,6.52,5.29,6.17
Atp2a3,105.96,125.98,105.01,105.36,110.94,124.06,114.28,61.03,103.59,117.37,122.82,103.63,106.8,66.02,63.86,64.24,81.96,60.07,57.65,81.44,31.59,26.9,44.22,34.79
Atp2b1,33.3,38.96,36.06,150.8,120.06,164.55,173.58,166,136.84,169.08,149.44,217.82,296.34,288.73,84.96,80.59,233.09,66.32,88.46,115.57,93.99,137.49,125.28,112.26
Atp2b4,1.04,2.65,1.87,1.25,0.03,0.2,0,0.03,0.22,0.08,0.1,0.09,0,0,0.13,0.13,0.26,0,0,1.11,0.74,0,0.03,0
Atp2c1,40.11,36.21,32.09,36.9,76.17,47.28,66.27,31.32,51.57,39.34,42.85,25.7,14.2,19.9,43.71,56.43,45.69,73.33,82.47,103.98,43.5,51.41,44.51,66.39
Atp5a1,275.75,304.73,262.78,164.2,201.49,142.66,154.17,138.79,192.94,185.85,215.98,132.9,100.09,80.17,271.41,250.14,174.16,296.98,244.98,278.63,229.08,259.29,242.43,285.21
Atp5b,626.08,608.24,629.26,442.11,383.47,492.61,395.94,514.82,421.67,411.88,368.58,350.46,468.58,453.99,719.66,657.08,518.73,634.82,576.59,588.19,540.14,507.52,533.96,459.44
Atp5c1,339.92,348.52,405.3,264.77,308.37,254.78,258.28,264.67,350.43,237.1,238.2,230.39,175.73,216.34,238.02,206.79,220.46,314.95,284.37,273.65,268.49,273.01,311.47,261.02
Atp5d,223.12,208.86,231.82,214.91,227.99,216.29,190.59,199.19,215.6,193.73,227.73,315.98,357.57,334.66,406.44,392.46,351.44,256.5,200.64,244.77,158.01,202.21,183.58,175.32
Atp5e,472.48,512.89,570.72,396.8,588.57,528.78,450.54,749.2,535.58,507.5,559.3,534.7,658.64,631.43,592.5,590.77,669,565.27,457.26,355.33,413.04,438.81,505.87,490.64
Atp5g1,231.16,310.57,281.1,100.34,97.28,136.68,79.6,181.15,134.12,124.32,127.24,91.88,97.69,93.91,229.17,210.41,231.19,147.75,165.04,144.46,139.15,120.16,146.81,181.69
Atp5g2,328.77,373.39,360.28,220.47,208.3,233.87,207.95,313.06,327.03,331.54,337.94,178.17,252.91,197.42,223.27,262.8,281.43,300.09,255.73,231.43,268.63,273.73,279.71,310.35
Atp5g3,327.68,270.36,272.94,130.94,151.45,130.19,130.56,255.91,165.13,177.3,190.11,205.57,238.91,159.56,132.21,164.49,217.07,154.19,182.78,145.74,182.43,143.68,134.97,146.7
Atp5h,817.29,861.11,715.42,618.15,653.55,598.09,559.04,871.03,754.87,603.38,653.96,596.59,768.99,687.13,577.06,510.38,688.86,411.12,456.67,452.29,266.85,251.45,397.12,357.88
Atp5j,537.43,546.01,536.5,250.24,285.63,369.36,232.48,428.09,344.91,308.62,320.96,252.73,247.24,278.07,425,317.64,336.58,244.41,280.56,250.61,202.32,304.05,210.12,240.05
Atp5j2,247.66,298.34,256.3,229.2,214.26,238.03,176.1,238.32,191.57,222.44,241.24,136.91,179.52,218.19,302.09,249.64,284.59,158.24,148.82,194.78,144.58,136.17,169.96,155.76
Atp5k,189.89,177.99,197.33,126.42,154.41,119.79,146.78,217.77,130.77,131.82,148.31,79.62,148.14,138.39,190.1,156.6,171.06,119.03,119.54,93.51,91.24,65.64,68.28,128.08
Atp5l,637.47,612.73,581.83,666.45,821.39,922.2,731.38,1065.95,727.18,785.55,698.23,950.72,1050.86,931.35,612.7,597.16,634.32,484.16,537.83,428.96,392.96,468.11,445.55,490.46
Atp5md,724.68,711.89,758.63,569.55,582.62,645.2,560,975.64,609.96,495.38,712.39,890.42,1095.06,1136.57,983.47,1210.61,994.62,611.29,937.56,883.06,1295.09,1211.13,1016.83,1112.8
Atp5mpl,647.78,595.19,788.3,522.32,568.88,783.93,544.97,960.26,692.78,607.45,641.49,610.47,626.2,871.23,631.91,559,729.48,532.19,531.94,447.18,449.77,400.28,363.78,441.46
Atp5o,191.21,191.14,181.28,84.37,75.01,88.77,98.51,129.45,109.54,88.94,94.28,106.98,96.29,48.33,196.09,138.32,154.57,115.39,78.82,107.72,95.23,82.36,123.88,107.05
Atp5pb,423.59,439.2,427.11,319.53,364.99,326.23,404.47,396.58,351.54,314.49,356.28,376.9,290.17,321.29,518.02,486.21,423.23,375.83,337.44,294.17,251.89,253.92,231.07,277
Atp6ap1,113.36,146.04,112.6,198.84,205.31,220.04,197.54,190.78,226.42,221.99,191.26,143.51,155.38,106.08,333.21,318.36,267.71,287.72,303.23,247.87,236.41,288.89,281.08,245.91
Atp6ap2,222.53,251.76,238.52,76.55,75.24,72.4,65.07,63.9,63.08,58.65,82.13,55.03,68.41,63.71,124.95,149.26,118.47,218.13,211.98,166.58,333.73,409.61,246.24,306.16
Atp6v0a1,13.32,17.81,10.83,1.6,4.28,3.43,10.11,1.88,6.21,1.42,2.79,0.56,0,3.46,2.33,6.62,5.06,1.23,2.76,6.46,10.23,7.7,16.61,8.79
Atp6v0a2,6.65,9.48,7.43,5.75,11.56,4.83,2.68,4.05,11.45,17.76,6.82,3.57,10.08,2.98,13.42,11,9.09,9.18,2.95,10.05,11.88,4.06,8.28,22.71
Atp6v0b,359.55,299.41,358.25,581.72,663.19,733.93,600.73,746.4,638.93,679.53,615.64,708.52,755.37,812.18,577.52,501.91,494.1,658.92,566.6,549.36,677.34,706.93,631.11,793.6
Atp6v0c,549.94,573.31,559.9,188.79,179.59,202.92,212.63,228.17,208.99,220.56,192.02,292.15,313.52,313.37,752.99,833.94,468.89,719.7,778.35,624.33,1245.56,1276.16,842.15,994.81
Atp6v0d1,93.08,86.08,89.31,118.57,119.21,95.43,92.31,109.78,112.43,97.65,88.99,137.59,172.24,224.54,157.41,149.1,161.79,207.73,176.44,150.53,341.49,414.09,222.83,251.69
Atp6v0e,372.45,412.7,443.01,500.24,521.97,597.01,552.97,700.66,556.41,591.01,550.51,554.05,679.72,679.05,549.91,650.85,605.09,487.86,435.69,547.68,773.79,891.51,659.08,837.2
Atp6v1a,25.49,26.02,31.35,14.88,12.13,11.43,11.83,15.76,16.06,16.56,16.32,6.07,16.49,8.99,20.29,20.86,12.81,22.88,32.18,23.62,42.76,53.44,39.65,38.88
Atp6v1b2,61.14,74.19,69.35,56.25,41.35,69.73,73.66,44.56,81.76,81.65,89.91,11.84,31.21,20.07,136.51,145.39,103.77,61.7,60.15,62.16,82.77,121.52,76.91,83.6
Atp6v1c1,46.13,44.61,43.42,20.88,17.09,30.88,29.93,21.96,41.06,37.66,48.55,18.18,10.86,21.26,59.75,64.12,38.87,59.41,51.66,41.65,94.75,76.84,52.62,65.35
Atp6v1d,108.14,73.76,105.03,64.12,75.2,58.1,88.14,104.51,72.72,61.95,64.01,45.3,65.41,62.35,108.13,101.67,133.9,111.42,120.5,67.14,338.13,296.64,206.32,221.62
Atp6v1e1,159.14,174.59,165.63,119.94,81.44,101.53,93.87,121.76,146.6,114.83,140.73,101.5,96.51,61.52,279,306.5,191.72,408.83,497.71,288.61,649.3,818.17,404.16,509.75
Atp6v1f,441.21,447.76,434.94,625.62,676.18,532.18,619.28,633.29,691.59,683.55,752.97,671.35,755.52,680.96,808.57,877.59,766.57,994.28,873.82,798.85,1034.03,1383.76,909.78,1098.98
Atp6v1g1,116.84,119.12,128.3,102.88,126.74,123.06,124.82,172.56,137.05,115.25,159.72,128.33,141.23,113.86,80.73,111.46,98.07,127.02,148.23,120.58,165.81,171.38,131.49,192.26
Atp6v1h,28.36,36.57,30.86,30.65,15.15,29.92,26.33,18.09,24.26,26.26,29.99,24.62,19.31,11.74,52.07,55.11,23.05,58.38,50.54,32.61,119.27,117.92,75.76,79.29
Atp7a,1.39,1.96,0.7,1.9,0.69,2.2,3.51,5.94,1.48,3.35,1.35,3.18,2.26,4.1,2.39,3.37,6.04,8.53,1.62,0.46,1.96,4.28,2.51,3.44
Atp8a1,11.27,22.63,19.06,28.8,28.39,39.27,55.39,20.16,26.5,47.15,34.09,36.16,11.4,22.78,12.82,2.12,15.09,7.38,11.09,14.55,22.89,11.92,15.6,32.88
Atp8a2,1.74,2.1,2.91,2.95,4.53,5.29,1.98,1.68,2.98,3.5,0.87,1.59,2.46,2.22,0.91,1.39,2.46,0.68,2.64,2.6,2.02,1.4,2.88,0.92
Atp8b2,4.59,1.03,1.39,10.01,2.09,8.61,6.6,1.2,1.8,6.58,2.57,1.52,1.59,0.97,2.54,8.28,15.25,2.79,7.7,3.52,3.3,0.46,0.69,0.27
Atp8b4,61.84,61.95,95.6,28.96,22.63,45.19,26.02,19.06,47.91,26.07,47.6,35.7,14.75,21.58,42.78,45.09,60.08,20.06,13.95,20.78,2.35,5.31,3.31,5.38
Atp8b5,3.69,2.95,5.26,12.16,16.83,17.03,11.53,6.13,17.92,13.04,10.5,3.38,4.16,2.23,7.98,17.16,8.2,3.12,1.75,4.81,0,0,0.42,0.38
Atp9b,5.37,4.48,4.13,4.64,5.67,6.36,4.62,5.02,3.52,5.87,11.89,4.31,10.11,4.4,19.21,9.75,13.51,11.62,15.7,5.92,16.18,20.56,15.58,11.6
Atpaf1,7.07,10.41,15.19,5.77,2.29,4.2,3.91,6.14,12.09,7,8.07,0,2.05,0,14.36,21.69,14.5,7.49,20.01,8.07,18.59,9.04,4.28,11.52
Atpaf2,8.15,15.17,10.04,12.09,12.89,5.08,8.59,4.41,16.19,4.61,5.85,2.83,0,2.51,14.54,19.75,12.81,11.15,19.07,17.72,24.26,20.51,23.7,15.38
Atpif1,447.23,482.77,472.75,101.52,135.47,152.25,180.79,200.31,127.82,160.01,197.24,123.8,157.93,125.62,161.02,148.76,251.44,193.66,172.08,162.55,166.31,170.83,221.93,169.28
Atpsckmt,18.28,8.56,9.15,3.37,4.36,2.81,4.01,8.3,5.79,0,6.31,1.86,6.25,5.78,20.43,22.82,17.49,11.46,8.56,14.54,10.55,11.21,11.88,3.75
Atr,4.14,3.2,7.42,2.47,0.93,2.49,3.11,9.79,0.76,5.19,9.01,2.53,5.17,2.98,4.42,2.62,8.3,8.63,4.31,4.66,1.17,4.87,7.07,6.1
