gene,BM_1,BM_2,BM_3,Blood_1,Blood_2,Blood_3,Blood_4,SP_1,SP_2,SP_3,SP_4,Lung_1,Lung_2,Lung_3,Skin_1,Skin_2,Skin_4,Colon_1,Colon_2,Colon_4,SI_1,SI_2,SI_3,SI_4
Thumpd1,15.95,17.77,21.23,4.05,8.19,9.51,10.37,8.97,8.27,9.4,32.65,4.09,2.17,2,26.48,15.93,12.25,14.79,14.87,8.48,13.97,11.39,14.05,21.98
Thumpd2,2.74,5.69,3.63,1.68,2.27,1.2,1.15,2.26,3.55,5.11,6.5,0,0.19,2.27,2.98,0,0,0.99,3.01,4.37,4.85,2.09,5.53,1.57
Thumpd3,21.84,21.56,23.85,13.2,20.38,25.07,30.26,14.97,23.67,12.02,29.44,20.74,26.82,7.76,70.27,53.96,40.95,11.8,25.01,21.99,31.77,23.48,29.35,24.99
Thyn1,30.46,24.82,28.48,7.11,20.79,19.37,7.81,13.43,7.93,11.59,17.01,4.14,4.72,4.99,12.12,4.37,13.67,13.65,11.4,7.34,23.27,8.63,6.7,14.52
Tia1,15.17,29.25,18.73,20.59,21.74,12.31,14.57,13.49,21.9,22.12,11.92,4.68,6.96,1.51,12.39,11.66,4.8,3.35,12.99,13.86,14.1,15.41,11.21,13.96
Tial1,16.75,22.84,15.78,22.63,18.67,23.17,21.35,34.85,27.3,21.18,18.58,9.85,23.09,14.48,15.39,19.57,36.08,15.58,13.01,10.33,15.8,24.7,16.49,12
Tiam1,14.84,16.73,54.68,9.49,5.74,4.24,9.36,11.44,7.15,17.19,14.52,25.61,23.55,46.2,36.61,55.16,121.38,9.4,19.58,13.47,0.99,5.68,10.03,0.94
Tiam2,8.31,11.78,12.11,44.29,43.36,37.64,24.5,44.07,37.17,47.35,37.1,4.26,7.53,4.14,9.52,5.61,15.47,36.29,36.68,36.36,106.94,79.09,125.51,81.64
Ticam1,10.82,8.17,5.35,7.26,6.27,3.61,8.42,5.18,5,4.29,3.52,8.36,7.59,1.42,14.59,14.3,10.89,8.81,12,14.82,6.73,17.5,8.53,10.56
Ticam2,1.65,1.03,1.82,0.15,0.91,2.68,1.37,3.42,0.11,2.41,0.29,3.39,2.88,6.25,11.43,18.29,13.7,5.3,3.73,4.86,3.48,0.12,0.63,0.41
Ticrr,2,3.91,3.34,0,0,0,0,0,0,0.14,0,0,0,0,0.23,0.35,0,1.44,0,0.16,0.18,0,6.18,0
Tifa,8.07,4.88,6.08,1.81,3.09,5.14,8.88,2.41,1.97,6.81,2.57,8.03,13.58,14.04,29.01,16.39,38.22,82.19,66.42,46.97,32.52,36.16,26.81,33.74
Tifab,2.99,3.8,6.97,0,0,0,0,0.31,0,0.75,0.69,0,0,0.13,0,0,0,0,0,0.7,0.41,0,0.29,0
Tigd2,6.61,8.9,6.78,7.32,9.28,10.22,5.24,6.44,9.79,10.55,7.83,1.33,2.34,2.24,1.55,3.89,7.13,7.64,4.43,2.12,3.35,3.72,8.61,2.96
Tigd3,1.75,1.53,2.16,0,0,0,0,0,0,0,0,0.36,0.79,0,0,0,2.11,0,0,0,1.36,0.25,0,0
Timeless,11.02,19.97,16.27,0,0,0,0,1.84,0,0.6,3.97,0,0,0.16,0,0,0,3.37,0,0.17,3.57,5.81,2.36,3.56
Timm10,38.51,49.02,71.89,28.57,12.44,19.06,44.44,58.85,37.67,46.95,32.17,38.67,37.24,47.03,62.26,101.01,54.07,59.77,39.83,43.93,59.98,54.68,85.56,125.91
Timm10b,201.08,181.81,179.32,288.49,307.45,361.52,260.07,335.28,391.72,362.05,350.35,110.27,136.66,200.75,114.16,73.76,148.94,163.96,128.31,154.64,108.3,87.94,86.63,77.46
Timm13,104.34,111.36,118.58,69.86,59.9,147.53,86.34,99.16,116.88,88.78,79.3,69.57,60.99,91.56,62.44,55.01,155.46,68.61,65.61,83.77,62.98,51.96,75.07,60.93
